Epochs,MSE,RMSE,Error_Rate_%
50,0.16853082180023193,0.41052505623924096,33.61786096436751
100,0.18504133820533752,0.4301643153555831,30.684584956698362
150,0.1873898208141327,0.4328854592315763,31.100215370731366
200,0.18987761437892914,0.4357494858045493,32.53738979612281
250,0.19127942621707916,0.4373550345166718,32.062764661063405
300,0.17305195331573486,0.415995136168363,32.150972234142664
350,0.1939408928155899,0.44038720782464824,31.793253203583216
400,0.20217198133468628,0.44963538710235684,33.736686395081946
450,0.21812988817691803,0.46704377543964554,33.93273768925318
500,0.19355235993862152,0.4399458602358039,34.370678301892106
